contig	start	stop	name	aCount	bCount	totalCount	log2_aFC	subject	samp
22	22516592	22517074	ENSG00000211639.2	0	15	15	-inf	SG031	S95
1	62660503	62678000	ENSG00000240563.1	19	1	20	4.2479275134400005	SG041	S59
22	43088127	43117304	ENSG00000128274.11	133	66	199	1.01088831614	SG041	S59
2	89265781	89266286	ENSG00000239855.1	44	2	46	4.45943161864	SG001	S1
X	70279094	70288273	ENSG00000147164.7	14	1	15	3.80735492206	SG046	S80
5	10679342	10761384	ENSG00000112977.11	241	327	568	-0.440257489268	SG031	S23
19	40736224	40791443	ENSG00000105221.12	215	139	354	0.629251776866	SG027	S22
3	40498783	40503861	ENSG00000188846.9	361	207	568	0.8023680693880001	SG148	S94
5	96149731	96271097	ENSG00000247121.2	258	772	1030	-1.5812297818399998	SG148	S71
16	56395364	56459450	ENSG00000159461.10	25	60	85	-1.2630344058299998	SG003	S2
15	81451916	81601393	ENSG00000172349.12	49	150	199	-1.6141088463799995	SG006	S29
19	49375649	49379314	ENSG00000087074.7	774	1002	1776	-0.372477037051	SG152	S68
1	111415775	111442550	ENSG00000143119.8	340	463	803	-0.445477447123	SG021	S14
X	49126306	49157929	ENSG00000049769.8	27	5	32	2.43295940728	SG046	S57
17	16345343	16395467	ENSG00000181350.7	17	53	70	-1.64045761331	SG043	S85
21	47608055	47648738	ENSG00000160285.10	441	551	992	-0.321273663014	SG151	S65
4	9772777	10056560	ENSG00000109667.7	26	5	31	2.37851162325	SG151	S64
12	54673977	54680872	ENSG00000135486.13	23	54	77	-1.23132554611	SG046	S57
8	146015151	146017972	ENSG00000161016.11	98	32	130	1.61470984412	SG041	S58
14	105952654	105955284	ENSG00000213145.5	264	431	695	-0.707149939731	SG031	S23
10	73724123	73773322	ENSG00000122863.5	30	8	38	1.90689059561	SG149	S90
X	76760356	77041702	ENSG00000085224.16	40	3	43	3.73696559417	SG007	S6
14	93403259	93582665	ENSG00000100605.12	317	415	732	-0.388628496095	SG152	S68
17	48623667	48633213	ENSG00000006282.15	42	169	211	-2.0085620135	SG042	S84
19	45853095	45874176	ENSG00000104884.10	87	146	233	-0.7468810630310001	SG042	S60
17	76419778	76573476	ENSG00000187775.12	26	113	139	-2.1197392442700003	SG148	S94
12	133264192	133294706	ENSG00000176894.5	128	76	204	0.752072486556	SG151	S65
X	152082986	152142024	ENSG00000147394.14	13	0	13	inf	SG022	S12
16	1494935	1525581	ENSG00000103249.13	94	147	241	-0.6450834931589999	SG045	S56
14	25278862	25519503	ENSG00000168952.11	13	1	14	3.70043971814	SG152	S70
1	144593363	144621656	ENSG00000225241.3	1	14	15	-3.80735492206	SG042	S84
3	53258723	53290047	ENSG00000163931.11	1184	1023	2207	0.210862935884	SG038	S53
X	53559057	53713673	ENSG00000086758.11	63	6	69	3.39231742278	SG022	S35
1	227177566	227506175	ENSG00000143776.14	116	2	118	5.85798099513	SG030	S21
20	43514317	43537173	ENSG00000166913.8	271	183	454	0.56644920307	SG023	S16
2	242673994	242708226	ENSG00000180902.12	268	169	437	0.665209754176	SG046	S80
X	119561682	119603220	ENSG00000005893.11	9	88	97	-3.2895066171900003	SG022	S35
19	49375649	49379314	ENSG00000087074.7	1887	2205	4092	-0.224684232844	SG042	S60
19	896503	913240	ENSG00000198858.5	50	104	154	-1.05658352837	SG152	S68
5	1568637	1594735	ENSG00000185986.10	67	18	85	1.89616418902	SG155	S42
17	48939584	48944856	ENSG00000141232.4	17	2	19	3.08746284125	SG149	S89
10	14560556	14816896	ENSG00000065809.9	169	81	250	1.0610294334	SG152	S70
2	190306159	190340291	ENSG00000115368.5	181	251	432	-0.471697666868	SG151	S65
7	134868590	134896316	ENSG00000105875.9	870	677	1547	0.361859567161	SG043	S62
22	17517460	17541715	ENSG00000237438.2	153	81	234	0.917537839808	SG023	S39
4	42112955	42154895	ENSG00000188848.11	83	39	122	1.08963721248	SG039	S74
3	98239976	98312567	ENSG00000080819.2	873	1052	1925	-0.269081145663	SG007	S5
14	35870717	35873952	ENSG00000100906.6	480	648	1128	-0.432959407276	SG150	S69
5	179233388	179264265	ENSG00000161011.15	913	1059	1972	-0.214015824008	SG043	S61
5	33424131	33440725	ENSG00000249572.1	14	1	15	3.80735492206	SG038	S52
22	24129150	24176689	ENSG00000099956.13	335	257	592	0.382392736151	SG148	S71
6	1624041	2245926	ENSG00000112699.6	23	54	77	-1.23132554611	SG001	S26
10	101635334	101769676	ENSG00000107554.11	17	2	19	3.08746284125	SG151	S65
5	150409506	150473138	ENSG00000145901.10	498	620	1118	-0.316122473206	SG045	S56
18	9708162	9862548	ENSG00000168461.8	19	92	111	-2.27563444261	SG031	S46
17	79476997	79490873	ENSG00000184009.5	911	1140	2051	-0.32351086525	SG031	S23
19	7753644	7767032	ENSG00000104921.10	1817	3110	4927	-0.775356160784	SG044	S63
6	7881656	7911047	ENSG00000239264.4	1811	2206	4017	-0.284646244641	SG006	S4
22	43547520	43559248	ENSG00000100300.13	149	75	224	0.990349829966	SG149	S90
5	66478103	66492627	ENSG00000134061.4	113	68	181	0.7327161211650001	SG001	S1
6	42931619	42946958	ENSG00000124587.9	84	141	225	-0.74723392962	SG038	S76
X	15337573	15353676	ENSG00000165195.9	29	0	29	inf	SG022	S11
18	10670238	11148587	ENSG00000154864.7	115	25	140	2.20163386117	SG150	S92
3	195384933	195456422	ENSG00000242086.4	47	16	63	1.55458885168	SG006	S28
1	169659808	169680839	ENSG00000188404.4	46	104	150	-1.17687776208	SG007	S5
7	32524951	32534895	ENSG00000106355.5	96	48	144	1.0	SG039	S75
19	48551100	48614074	ENSG00000105499.9	8	35	43	-2.12928301694	SG043	S85
17	5112256	5138155	ENSG00000161929.10	221	383	604	-0.793298022534	SG040	S50
3	141594966	141645356	ENSG00000069849.6	69	32	101	1.10852445678	SG002	S72
9	134452157	134615461	ENSG00000107263.14	506	345	851	0.552541023029	SG043	S85
13	43597339	43683045	ENSG00000120675.4	53	136	189	-1.35954238669	SG003	S3
2	219081817	219119079	ENSG00000163466.11	54	119	173	-1.13993026114	SG022	S11
13	96453834	96705736	ENSG00000102595.14	4	30	34	-2.90689059561	SG037	S78
8	28107580	28196556	ENSG00000253690.1	39	167	206	-2.09830207361	SG006	S4
6	89319985	89673348	ENSG00000111880.11	62	125	187	-1.0115879742799998	SG148	S71
3	197398264	197476598	ENSG00000145016.9	214	149	363	0.522298465939	SG021	S38
19	7753644	7767032	ENSG00000104921.10	832	1199	2031	-0.527176225273	SG027	S22
17	76142434	76162258	ENSG00000187997.7	85	35	120	1.28010791919	SG039	S51
1	183524698	183560011	ENSG00000116701.10	102	164	266	-0.685126662647	SG151	S64
11	5684425	5959849	ENSG00000132256.14	170	245	415	-0.527247002865	SG003	S2
X	39909068	40036582	ENSG00000183337.12	22	2	24	3.45943161864	SG148	S94
3	127407909	127542051	ENSG00000074416.9	67	33	100	1.0216950711	SG046	S81
20	300957	328868	ENSG00000225377.1	16	53	69	-1.7279204545599998	SG024	S37
11	48002113	48189670	ENSG00000149177.8	36	13	49	1.4694852833	SG043	S85
15	81451916	81601393	ENSG00000172349.12	143	77	220	0.893084796083	SG007	S5
7	134777115	134855547	ENSG00000122783.12	434	304	738	0.513623719001	SG041	S82
17	39777845	39943183	ENSG00000173801.12	37	12	49	1.62449086491	SG024	S36
6	18224099	18265054	ENSG00000124795.10	242	328	570	-0.4386887673430001	SG037	S77
19	17186591	17325346	ENSG00000099331.9	562	713	1275	-0.343331946223	SG069	S47
X	67867508	67945684	ENSG00000130052.9	0	11	11	-inf	SG031	S95
20	37049235	37063996	ENSG00000196756.7	256	118	374	1.1173569506399998	SG041	S59
14	96152754	96158980	ENSG00000213231.8	32	1	33	5.0	SG022	S11
2	191208196	191236391	ENSG00000151689.8	23	61	84	-1.40717538151	SG040	S73
10	11784365	11806069	ENSG00000134463.10	9	33	42	-1.87446911792	SG039	S75
13	96453834	96705736	ENSG00000102595.14	7	40	47	-2.51457317283	SG044	S87
16	70147529	70195203	ENSG00000090857.9	96	203	299	-1.08037341646	SG044	S63
4	113195698	113207059	ENSG00000145365.10	230	160	390	0.5235619560570001	SG150	S69
3	183205319	183273477	ENSG00000172578.7	31	76	107	-1.29373120306	SG040	S49
2	33661391	33789817	ENSG00000152689.13	140	241	381	-0.783606319285	SG021	S15
17	18174742	18218321	ENSG00000177302.10	24	56	80	-1.22239242134	SG155	S42
14	106320349	106322323	ENSG00000211899.3	4534	5197	9731	-0.196894667927	SG022	S11
14	24899141	24910540	ENSG00000100441.5	467	370	837	0.335897279193	SG003	S2
20	61584052	61599949	ENSG00000101194.13	834	682	1516	0.29027564442	SG045	S56
14	59927081	59951148	ENSG00000126790.7	97	25	122	1.95605665241	SG030	S43
22	22516592	22517074	ENSG00000211639.2	28	1	29	4.80735492206	SG041	S82
16	84599200	84651683	ENSG00000103187.6	1988	2311	4299	-0.217199502905	SG038	S52
15	25277195	25281637	ENSG00000257151.1	14	0	14	inf	SG155	S19
3	39371197	39375171	ENSG00000179934.5	15	1	16	3.90689059561	SG040	S49
20	47835884	47860614	ENSG00000124228.10	155	77	232	1.00933786458	SG007	S30
12	131438452	131626014	ENSG00000111452.8	9	36	45	-2.0	SG024	S13
15	31196055	31235311	ENSG00000198690.5	198	127	325	0.640671933307	SG044	S86
15	40780240	40850183	ENSG00000259536.1	173	77	250	1.16784168694	SG150	S69
12	104359582	104382652	ENSG00000139372.10	49	20	69	1.29278174923	SG039	S74
9	4676600	4679502	ENSG00000273061.1	17	1	18	4.08746284125	SG030	S21
1	160965001	160991138	ENSG00000158769.13	423	323	746	0.389123498426	SG151	S65
19	16222439	16244837	ENSG00000167461.7	530	424	954	0.321928094887	SG151	S65
2	234263153	234380750	ENSG00000077044.5	55	114	169	-1.05153030064	SG007	S5
8	27168999	27316903	ENSG00000120899.13	833	1180	2013	-0.502398458884	SG031	S23
14	106733144	106733639	ENSG00000211950.2	23	1	24	4.52356195606	SG150	S92
6	24667263	24705088	ENSG00000112304.6	25	54	79	-1.11103131239	SG022	S35
20	23608534	23619110	ENSG00000101439.4	45	110	155	-1.28950661719	SG044	S87
19	14844559	14889353	ENSG00000127507.13	6	35	41	-2.54432051622	SG149	S89
22	45704849	45737836	ENSG00000100376.7	262	76	338	1.7854954880900002	SG043	S62
9	113006091	113018920	ENSG00000136810.8	511	380	891	0.427323872607	SG040	S49
20	60962172	60963576	ENSG00000171858.13	45	14	59	1.6844981742700005	SG046	S81
1	22351681	22357716	ENSG00000218510.3	59	107	166	-0.858823937039	SG069	S24
X	106307650	106362057	ENSG00000089682.12	16	1	17	4.0	SG152	S70
X	102930424	102941746	ENSG00000123562.12	38	9	47	2.078002512	SG046	S80
8	145159402	145162514	ENSG00000179632.5	118	186	304	-0.656515761746	SG038	S76
11	2316875	2324279	ENSG00000110665.7	49	0	49	inf	SG042	S60
1	167599330	167675486	ENSG00000198771.6	196	113	309	0.7945308817	SG007	S6
20	57608200	57617964	ENSG00000101166.11	81	145	226	-0.84005908713	SG150	S93
19	5691888	5720583	ENSG00000196365.7	112	175	287	-0.643856189775	SG025	S10
X	40507558	40595110	ENSG00000180182.6	45	12	57	1.90689059561	SG007	S5
15	63900817	64126141	ENSG00000103657.9	56	114	170	-1.0255350921100002	SG069	S24
11	832884	839720	ENSG00000177697.13	106	36	142	1.55799545312	SG024	S37
19	18683418	18718551	ENSG00000006016.6	412	542	954	-0.395648514171	SG011	S8
1	28199055	28213196	ENSG00000130775.11	88	44	132	1.0	SG003	S2
2	98330023	98356325	ENSG00000115085.9	40	15	55	1.41503749928	SG150	S69
13	33677272	33924767	ENSG00000133121.16	68	23	91	1.56390088519	SG040	S73
16	15068448	15233196	ENSG00000179889.14	302	216	518	0.483517237162	SG003	S2
17	7529552	7531194	ENSG00000141504.7	49	20	69	1.29278174923	SG003	S2
1	169631245	169823221	ENSG00000000460.12	417	216	633	0.949016071281	SG151	S65
22	23222886	23223576	ENSG00000211673.2	4	102	106	-4.67242534197	SG040	S49
6	113944737	113971276	ENSG00000230943.1	15	1	16	3.90689059561	SG043	S62
2	190306159	190340291	ENSG00000115368.5	270	169	439	0.6759361607690001	SG150	S69
2	89512908	89513413	ENSG00000244575.1	71	2	73	5.1497471195	SG027	S22
8	22479028	22526661	ENSG00000147439.7	20	50	70	-1.3219280948899998	SG039	S74
12	120648323	120703574	ENSG00000089159.11	6	31	37	-2.36923380967	SG155	S42
7	66093868	66262493	ENSG00000243335.4	67	31	98	1.11189288007	SG043	S62
20	34213953	34252878	ENSG00000214078.7	443	225	668	0.977381697338	SG041	S59
1	26644448	26647014	ENSG00000169442.4	837	687	1524	0.284917523732	SG037	S78
X	77166194	77305892	ENSG00000165240.13	5	28	33	-2.48542682717	SG038	S53
16	70190243	70207224	ENSG00000247228.2	156	89	245	0.809668787896	SG155	S42
7	92759368	92777682	ENSG00000177409.7	159	235	394	-0.563633991281	SG030	S43
18	23596578	23671181	ENSG00000141380.9	88	44	132	1.0	SG045	S56
18	657604	673578	ENSG00000176890.11	314	233	547	0.430434604237	SG039	S75
22	22569184	22569660	ENSG00000211642.2	59	1	60	5.88264304936	SG040	S73
3	122399465	122449687	ENSG00000173193.9	826	1120	1946	-0.439285045526	SG041	S58
17	34400226	34417331	ENSG00000224298.2	315	220	535	0.517848304863	SG041	S82
1	160709037	160724611	ENSG00000026751.12	603	454	1057	0.409465704609	SG024	S13
14	59927081	59951148	ENSG00000126790.7	31	100	131	-1.6896598793900002	SG046	S81
10	34398488	35104253	ENSG00000148498.11	38	12	50	1.6629650127200002	SG006	S29
5	304291	438406	ENSG00000063438.12	283	429	712	-0.600175594668	SG021	S14
2	127805603	127864931	ENSG00000136717.10	107	162	269	-0.598383016483	SG003	S3
16	84511681	84587639	ENSG00000140950.11	81	40	121	1.017921908	SG002	S72
13	48963707	49018840	ENSG00000139679.11	15	1	16	3.90689059561	SG043	S85
15	50647606	50659636	ENSG00000244879.3	22	73	95	-1.7303929402400002	SG038	S76
9	116018115	116035718	ENSG00000176386.4	39	13	52	1.58496250072	SG021	S15
3	183853052	184402546	ENSG00000145191.7	491	377	868	0.381158501046	SG040	S49
17	63524681	63557765	ENSG00000168646.8	0	15	15	-inf	SG150	S69
15	34671272	34880704	ENSG00000175265.13	149	47	196	1.66457966878	SG040	S73
5	96149731	96271097	ENSG00000247121.2	523	156	679	1.74526491738	SG042	S83
7	129932974	129964020	ENSG00000128510.6	0	11	11	-inf	SG024	S36
3	191046866	191116459	ENSG00000152492.9	554	450	1004	0.299960974832	SG003	S27
14	65381079	65411309	ENSG00000258289.3	107	52	159	1.04102726826	SG024	S36
17	79993012	79995608	ENSG00000169738.3	52	100	152	-0.943416471634	SG152	S70
12	92378756	92535489	ENSG00000257242.2	59	139	198	-1.23629802336	SG044	S63
10	112631565	112658487	ENSG00000150593.11	44	108	152	-1.29545588353	SG006	S28
17	46952222	46986345	ENSG00000248278.1	79	40	119	0.98185265329	SG006	S28
22	37600278	37608362	ENSG00000183473.5	98	161	259	-0.7162070339990001	SG043	S62
19	18169805	18209754	ENSG00000096996.11	133	194	327	-0.544630406686	SG006	S4
X	46433219	46457843	ENSG00000147119.3	20	3	23	2.73696559417	SG046	S57
17	33570055	33600674	ENSG00000166750.5	262	4	266	6.03342300154	SG011	S32
1	40157854	40229586	ENSG00000084072.12	38	95	133	-1.3219280948899998	SG001	S1
11	2465914	2870339	ENSG00000053918.11	1	29	30	-4.85798099513	SG002	S72
X	13396854	13397459	ENSG00000197582.5	46	0	46	inf	SG148	S71
19	45853095	45874176	ENSG00000104884.10	48	89	137	-0.890770930245	SG030	S20
4	159690290	159829201	ENSG00000052795.8	19	2	21	3.2479275134400005	SG001	S26
20	30865467	30922814	ENSG00000101350.6	55	25	80	1.13750352375	SG152	S68
1	160765864	160798051	ENSG00000122224.13	101	152	253	-0.5897160306920001	SG152	S68
1	167599330	167675486	ENSG00000198771.6	137	197	334	-0.524019736496	SG152	S91
2	61404553	61418338	ENSG00000173209.18	80	138	218	-0.786596361891	SG023	S39
2	9983483	10074545	ENSG00000115750.12	29	62	91	-1.09621531526	SG003	S27
1	169659808	169680839	ENSG00000188404.4	648	272	920	1.25238716163	SG030	S21
11	287305	288987	ENSG00000255026.1	12	42	54	-1.80735492206	SG151	S65
19	1026298	1039068	ENSG00000064666.10	279	401	680	-0.523337114626	SG025	S10
20	37049235	37063996	ENSG00000196756.7	76	190	266	-1.3219280948899998	SG022	S12
1	6051526	6161253	ENSG00000069424.10	483	678	1161	-0.489262084301	SG043	S85
10	105148823	105156223	ENSG00000173915.8	39	99	138	-1.34395440122	SG042	S84
18	47013709	47018248	ENSG00000265496.2	77	126	203	-0.710493382805	SG002	S72
1	161676762	161684142	ENSG00000132185.12	129	235	364	-0.8652896911419999	SG148	S71
X	13395307	13421138	ENSG00000226434.1	0	139	139	-inf	SG003	S3
10	13319796	13344412	ENSG00000107537.9	5	23	28	-2.20163386117	SG046	S80
4	492989	533318	ENSG00000174227.11	242	323	565	-0.416527117419	SG038	S76
16	29674300	29682187	ENSG00000197471.7	55	16	71	1.78135971352	SG045	S56
22	42905974	42915808	ENSG00000189306.6	67	131	198	-0.96733381108	SG042	S60
21	45138975	45182188	ENSG00000160209.14	150	217	367	-0.532732541949	SG030	S20
2	120124497	120130126	ENSG00000155368.12	20	54	74	-1.4329594072799998	SG043	S62
17	33570055	33600674	ENSG00000166750.5	9	278	287	-4.94901607128	SG003	S2
13	43597339	43683045	ENSG00000120675.4	94	29	123	1.69660785655	SG011	S9
16	70286198	70323446	ENSG00000090861.11	252	183	435	0.461580085216	SG152	S70
3	121350246	121379774	ENSG00000180353.6	811	597	1408	0.441970982952	SG001	S26
19	3141574	3155173	ENSG00000267551.3	50	22	72	1.18442457114	SG151	S65
17	21279509	21323179	ENSG00000184185.5	45	6	51	2.90689059561	SG149	S90
7	1036622	1177896	ENSG00000146540.10	612	466	1078	0.393201698038	SG069	S48
12	120875893	120878545	ENSG00000111775.2	3	22	25	-2.87446911792	SG041	S58
X	132434131	132549518	ENSG00000076716.7	2	21	23	-3.39231742278	SG022	S11
17	33570055	33600674	ENSG00000166750.5	76	6	82	3.66296501272	SG026	S17
19	39833036	39876350	ENSG00000179134.10	100	57	157	0.8109661756100001	SG151	S88
19	5158506	5340814	ENSG00000105426.10	13	43	56	-1.72582503656	SG027	S45
10	105148823	105156223	ENSG00000173915.8	36	3	39	3.58496250072	SG038	S52
20	29611857	29634010	ENSG00000149531.10	24	4	28	2.58496250072	SG151	S64
21	15399742	15516789	ENSG00000224905.2	23	64	87	-1.47643804394	SG152	S68
3	174952651	174988885	ENSG00000226779.1	181	72	253	1.32992088564	SG046	S57
X	9431335	9687780	ENSG00000101849.11	53	6	59	3.14295795384	SG046	S80
10	101635334	101769676	ENSG00000107554.11	127	79	206	0.6849039385950001	SG041	S58
20	34894258	35157040	ENSG00000080845.13	18	1	19	4.16992500144	SG044	S87
19	35485688	35517375	ENSG00000089351.10	211	127	338	0.732414501935	SG022	S11
6	12290596	12297427	ENSG00000078401.6	40	14	54	1.5145731728299998	SG027	S44
6	6144318	6321246	ENSG00000124491.11	11	37	48	-1.75002174699	SG039	S51
X	134382867	134478012	ENSG00000186376.10	17	57	74	-1.7454271729099995	SG007	S6
1	19403234	19536770	ENSG00000127481.10	259	359	618	-0.471031746136	SG022	S11
19	35485688	35517375	ENSG00000089351.10	126	201	327	-0.673771767679	SG021	S38
11	307631	309395	ENSG00000185201.12	441	252	693	0.807354922058	SG043	S62
14	24612574	24616444	ENSG00000100911.9	493	624	1117	-0.339958382484	SG003	S3
10	3183930	3210164	ENSG00000237399.3	116	174	290	-0.584962500721	SG148	S94
2	71291474	71306935	ENSG00000124357.8	103	207	310	-1.00698643032	SG007	S5
16	103010	107669	ENSG00000161981.6	45	108	153	-1.2630344058299998	SG006	S4
3	48507116	48509044	ENSG00000213689.5	114	172	286	-0.593374740537	SG150	S93
7	6061881	6098861	ENSG00000086232.8	38	93	131	-1.29123129766	SG043	S62
17	38060848	38074903	ENSG00000073605.14	114	215	329	-0.915302835425	SG039	S75
19	47759237	47775210	ENSG00000105321.8	172	111	283	0.6318488883519999	SG041	S59
8	110374706	110542559	ENSG00000205038.7	39	12	51	1.7004397181400002	SG002	S7
14	107113741	107114274	ENSG00000223648.2	13	111	124	-3.09397614821	SG023	S96
2	54683422	54896812	ENSG00000115306.11	235	153	388	0.6191291038719999	SG046	S80
2	39663778	39873530	ENSG00000231312.2	2	17	19	-3.08746284125	SG026	S18
10	124608594	124639157	ENSG00000213185.2	31	4	35	2.9541963103900004	SG045	S56
17	38060848	38074903	ENSG00000073605.14	99	204	303	-1.04306872189	SG149	S66
8	48685669	48872743	ENSG00000253729.3	98	50	148	0.97085365434	SG003	S3
20	62681189	62703700	ENSG00000171703.12	35	8	43	2.12928301694	SG069	S47
7	56169262	56174269	ENSG00000106153.12	109	57	166	0.935294310612	SG031	S95
22	23247030	23247205	ENSG00000211678.2	350	6	356	5.86624861111	SG007	S30
13	21877654	21922860	ENSG00000224429.3	31	9	40	1.7842713089400002	SG149	S89
16	19714902	19729016	ENSG00000103550.9	35	6	41	2.54432051622	SG040	S49
14	106926188	106926724	ENSG00000232216.1	12	0	12	inf	SG148	S71
21	45770046	45862964	ENSG00000142185.12	43	9	52	2.25633975326	SG150	S93
20	62152077	62153559	ENSG00000125534.5	95	169	264	-0.831023827951	SG042	S60
1	40026488	40042462	ENSG00000090621.9	414	297	711	0.479167836699	SG041	S58
9	140083099	140084822	ENSG00000176101.7	17	2	19	3.08746284125	SG002	S7
20	61584052	61599949	ENSG00000101194.13	829	658	1487	0.333284517761	SG046	S57
8	2523591	2585991	ENSG00000254319.1	0	14	14	-inf	SG152	S91
6	170110332	170124151	ENSG00000130024.10	15	1	16	3.90689059561	SG042	S83
18	9334765	9402418	ENSG00000128791.7	103	57	160	0.853610513018	SG155	S19
19	36195429	36207940	ENSG00000011590.9	371	266	637	0.47999294112	SG040	S49
2	6968645	6980595	ENSG00000225964.1	7	32	39	-2.1926450779400004	SG025	S33
